ir,red
110178,98820
110093,98768
110201,98910
110247,98881
110260,98872
110200,98866
110197,98812
110332,98903
110372,98973
110330,98930
110332,98887
110250,98825
110412,98986
110495,99007
110409,98983
110396,98892
110400,98911
110532,98961
110528,99053
110495,99011
110473,98955
110428,98990
110634,99016
110622,99086
110634,99010
110602,98999
110581,98991
110687,99103
110734,99079
110759,99109
110735,99045
110682,99051
110778,99122
110817,99195
110809,99095
110755,99128
110772,99060
110863,99204
110891,99204
110932,99170
110841,99138
110866,99091
110945,99221
110984,99175
110905,99199
110835,99125
110771,99057
110843,99164
110804,99106
110650,99018
110540,98936
110355,98919
110408,98952
110241,98871
110100,98742
109973,98663
109842,98621
109781,98673
109672,98604
109544,98543
109409,98419
109299,98392
109312,98424
109184,98418
109096,98282
108922,98254
108875,98171
108913,98226
108887,98281
108777,98137
108647,98128
108554,98062
108685,98194
108635,98153
108571,98089
108490,98065
108462,98007
108594,98113
108525,98089
108492,98072
108456,98014
108413,98020
108572,98171
108515,98128
108529,98114
108390,98058
108450,98026
108543,98121
108567,98167
108566,98075
108487,98064
108514,98035
108642,98150
108698,98179
108650,98130
108590,98126
108689,98111
108796,98231
108844,98265
108783,98213
108774,98182
108793,98240
108921,98316
108972,98299
109010,98275
108954,98275
109040,98301
109091,98373
109186,98398
109143,98396
109078,98293
109138,98356
109270,98409
109223,98434
109175,98338
109142,98326
109154,98344
109183,98405
109213,98372
109171,98368
109113,98270
109138,98369
109204,98394
109220,98371
109162,98317
109099,98324
109128,98311
109211,98401
109180,98392
109121,98353
109043,98320
109151,98306
109210,98422
109144,98360
109152,98322
109073,98293
109175,98312
109263,98454
109221,98374
109229,98395
109160,98310
109243,98379
109332,98464
109270,98420
109326,98409
109201,98369
109376,98427
109452,98460
109416,98501
109442,98452
109324,98433
109510,98488
109592,98550
109561,98537
109515,98541
109486,98452
109584,98544
109631,98586
109676,98561
109659,98595
109581,98459
109764,98635
109834,98639
109782,98658
109830,98584
109711,98582
109890,98621
109967,98765
109955,98659
109979,98699
109853,98648
110050,98710
110053,98794
110076,98725
110074,98769
109987,98633
110122,98807
110168,98842
110163,98791
110214,98756
110137,98688
110200,98851
110272,98870
110305,98833
110258,98863
110209,98713
110342,98896
110410,98904
110400,98880
110400,98855
110288,98821
110460,98957
110492,98925
110544,98986
110542,98912
110452,98881
110559,98994
110676,99000
110654,98957
110637,99002
110540,98906
110754,99023
110817,99123
110786,99061
110783,98985
110756,99008
110864,99128
110945,99092
110903,99133
110897,99067
110851,99075
110984,99149
111095,99163
111035,99118
111023,99109
110952,99051
111065,99163
111143,99193
111075,99149
110939,99076
110867,99005
110837,99098
110865,99047
110662,98991
110446,98888
110320,98774
110331,98750
110236,98753
110054,98670
109867,98533
109678,98497
109697,98546
109629,98440
109457,98411
109301,98294
109197,98247
109202,98259
109172,98244
109063,98227
108929,98120
108801,98091
108923,98187
108847,98172
108795,98071
108736,98038
108636,97989
108713,98033
108731,98073
108650,98026
108564,98033
108567,97971
108607,98087
108601,98115
108571,98034
108542,97978
108560,97977
108626,98062
108686,98113
108591,98033
108605,98025
108571,98034
108708,98132
108672,98113
108673,98089
108601,98014
108602,98017
108715,98145
108784,98140
108696,98108
108708,98034
108678,98061
108857,98150
108877,98216
108823,98165
108835,98122
108839,98180
109007,98272
108986,98275
109045,98226
109034,98235
109068,98231
109100,98340
109197,98300
109120,98327
109074,98249
109138,98263
109207,98310
109259,98375
109220,98312
109162,98280
109134,98265
109257,98373
109240,98350
109189,98351
109072,98281
109143,98256
109263,98351
109186,98336
109160,98325
109097,98233
109130,98271
109212,98377
109168,98333
109157,98275
109114,98222
109127,98299
109256,98353
109181,98345
109185,98288
109112,98223
109144,98297
109234,98394
109203,98303
109218,98355
109158,98295
109175,98308
109343,98392
109333,98369
109277,98319
109257,98299
109336,98353
109363,98434
109414,98443
109390,98381
109300,98405
109414,98370
109465,98485
109480,98449
109505,98410
109422,98426
109498,98464
109580,98541
109635,98507
109600,98532
109519,98470
109632,98506
109712,98587
109773,98554
109729,98579
109637,98522
109795,98578
109881,98657
109859,98639
109860,98657
109779,98556
109946,98626
109972,98654
110017,98695
110029,98697
109927,98638
110017,98692
110073,98737
110124,98682
110108,98750
110031,98623
110161,98789
110258,98771
110247,98767
110166,98737
110115,98716
110265,98749
110345,98867
110369,98790
110360,98782
110245,98776
110411,98811
110461,98863
110474,98870
110424,98852
110362,98768
110571,98881
110577,98974
110573,98873
110577,98941
110492,98867
110617,98953
110718,98960
110714,98979
110678,98992
110565,98875
110776,98974
110799,99062
110856,99006
110828,99054
110743,98971
110887,99077
110933,99095
110940,99041
110928,99073
110803,98970
110957,99069
111039,99105
110960,99040
110900,99037
110763,98946
110878,99029
110831,99011
110681,98955
110556,98883
110308,98728
110347,98761
110233,98692
110081,98638
109930,98575
109645,98427
109713,98468
109638,98445
109491,98375
109391,98281
109196,98203
109215,98247
109116,98225
109066,98157
108917,98119
108774,97983
108830,98131
108832,98120
108717,98052
108612,97982
108543,97916
108652,98038
108658,98028
108521,97978
108474,97933
108437,97890
108506,97974
108531,97982
108523,97944
108490,97934
108382,97932
108544,97986
108532,98009
108528,97961
108437,97959
108406,97884
108590,98020
108545,98011
108496,98011
108520,97917
108484,97925
108620,98038
108593,98036
108634,98025
108565,97992
108519,97952
108683,98034
108763,98087
108679,98072
108716,98063
108692,98034
108841,98092
108933,98207
108927,98185
108874,98158
108917,98107
109016,98227
109028,98239
109090,98211
109075,98151
109005,98210
109152,98221
109172,98325
109130,98286
109071,98227
109112,98212
109166,98299
109238,98309
109145,98264
109097,98186
109089,98190
109232,98276
109252,98284
109134,98270
109115,98163
109133,98186
109154,98291
109172,98281
109199,98256
109131,98163
109108,98222
109156,98296
109196,98271
109193,98231
109083,98179
109091,98223
109271,98274
109283,98330
109176,98296
109175,98244
109142,98245
109349,98333
109281,98356
109268,98291
109290,98256
109304,98280
109416,98363
109413,98446
109432,98380
109336,98314
109441,98335
109494,98413
109582,98485
109519,98446
109506,98393
109541,98439
109640,98476
109723,98511
109706,98477
109589,98439
109702,98487
109838,98548
109817,98546
109829,98565
109753,98508
109829,98515
109906,98647
109886,98618
109927,98556
109854,98577
109944,98564
110069,98700
110050,98667
110033,98664
109981,98582
110040,98650
110213,98723
110153,98731
110189,98660
110107,98652
110154,98713
110275,98750
110321,98788
110270,98703
110238,98696
110287,98746
110446,98866
110440,98830
110387,98781
110349,98703
110456,98851
110586,98849
110521,98827
110570,98863
110479,98746
110547,98889
110669,98904
110648,98880
110668,98896
110615,98861
110695,98954
110824,99035
110856,98982
110819,98984
110731,98905
110889,99000
110960,99023
110958,99064
110936,99019
110921,98958
111038,99076
111140,99095
111030,99105
111052,99050
110966,99019
111038,99037
111138,99074
111001,99071
110963,98976
110735,98905
110795,98890
110706,98925
110512,98789
110382,98699
110147,98560
110133,98645
110070,98566
109880,98529
109717,98412
109576,98293
109571,98373
109553,98329
109329,98285
109235,98159
109086,98076
109070,98164
109093,98132
108968,98107
108920,98017
108764,97967
108807,98015
108786,98059
108750,97970
108663,97979
108548,97845
108680,97983
108627,98014
108647,97971
108555,97947
108466,97874
108630,97986
108620,97974
108641,97938
108630,97949
108525,97920
108679,97966
108639,98004
108691,97982
108653,97990
108556,97904
108703,98028
108715,98034
108754,98039
108714,98017
108612,97924
108781,98077
108863,98055
108831,98092
108843,98001
108789,98029
108960,98138
108989,98129
109020,98166
109029,98141
108979,98096
109187,98207
109173,98246
109209,98189
109220,98188
109151,98217
109253,98273
109373,98278
109367,98293
109325,98221
109260,98239
109372,98308
109405,98327
109410,98270
109375,98278
109307,98181
109399,98353
109455,98304
109352,98324
109305,98219
109268,98225
109418,98338
109373,98285
109415,98290
109326,98230
109276,98234
109422,98331
109451,98318
109426,98278
109351,98244
109263,98223
109435,98293
109479,98359
109405,98314
109420,98261
109369,98233
109547,98349
109531,98354
109538,98333
109520,98321
109467,98296
109623,98437
109647,98394
109644,98413
109566,98370
109614,98358
109696,98469
109807,98473
109723,98434
109777,98425
109737,98442
109867,98531
109928,98594
109926,98479
109831,98510
109887,98469
110078,98615
110096,98643
110046,98570
109989,98519
110044,98591
110162,98631
110176,98645
110225,98657
110161,98621
110176,98611
110284,98705
110328,98695
110359,98692
110241,98650
110349,98676
110409,98783
110456,98812
110450,98749
110435,98744
110437,98735
110617,98850
110596,98833
110537,98807
110549,98737
110618,98839
110682,98918
110698,98879
110744,98885
110680,98814
110730,98900
110777,98945
110908,98955
110792,98934
110794,98843
110849,98886
110962,99001
110963,99029
110956,98941
110946,98946
110968,98998
111071,99090
111080,99019
111138,99052
111038,99006
111128,99074
111257,99145
111233,99098
111198,99103
111193,99009
111284,99114
111340,99213
111359,99137
111272,99102
111259,99052
111346,99143
111361,99120
111314,99097
111188,99091
111052,98971
110961,98981
110930,98990
110860,98872
110628,98824
110454,98639
110372,98700
110321,98610
110142,98582
110041,98491
109788,98370
109773,98412
109762,98372
109597,98315
109491,98249
109287,98154
109299,98170
109321,98175
109261,98126
109140,98115
108946,97984
109074,98076
109050,98128
109017,98064
108910,98038
108850,97938
108939,98060
108911,98061
108940,98071
108839,98011
108727,97930
108925,98024
108934,98111
108932,98030
108864,98046
108800,97907
108927,98030
109012,98115
108952,98078
108929,98052
108892,97993
109001,98096
109065,98155
108982,98117
109005,98080
108961,98039
109043,98132
109151,98185
109134,98124
109147,98152
109082,98077
109241,98244
109305,98212
109311,98278
109330,98260
109224,98170
109429,98269
109474,98386
109452,98280
109485,98343
109420,98264
109520,98355
109596,98429
109570,98357
109538,98368
109441,98289
109599,98383
109594,98431
109539,98350
109569,98320
109455,98267
109557,98305
109610,98429
109582,98356
109506,98346
109416,98241
109551,98404
109601,98350
109514,98342
109522,98349
109401,98219
109499,98359
109556,98335
109504,98375
109488,98283
109428,98269
109519,98374
109582,98336
109527,98380
109501,98301
109466,98301
109578,98380
109599,98373
109648,98379
109575,98318
109575,98327
109714,98435
109687,98422
109692,98433
109723,98395
109638,98397
109868,98450
109935,98519
109881,98524
