ir,red
116345,100987
116301,100981
116383,101010
116415,101040
116441,101041
116436,101019
116443,101004
116525,101048
116531,101092
116568,101067
116592,101094
116590,101030
116674,101108
116719,101176
116757,101152
116715,101116
116727,101099
116800,101183
116856,101213
116883,101218
116909,101232
116878,101201
116956,101256
117008,101266
117183,101352
117210,101342
117210,101349
117231,101323
117290,101369
117347,101406
117338,101396
117380,101385
117381,101367
117441,101437
117485,101472
117510,101444
117510,101479
117507,101449
117595,101502
117625,101521
117631,101531
117616,101486
117667,101489
117696,101550
117756,101565
117753,101564
117791,101564
117783,101548
117851,101624
117896,101620
117884,101636
117918,101607
117882,101574
117957,101647
117998,101653
117984,101644
118019,101640
118012,101631
118074,101686
118108,101697
118075,101688
118129,101685
118116,101661
118152,101720
118215,101767
118205,101732
118184,101735
118243,101727
118297,101775
118321,101790
118323,101767
118332,101752
118370,101785
118404,101830
118420,101845
118426,101851
118397,101796
118367,101772
118372,101825
118311,101766
118142,101703
117938,101595
117659,101456
117374,101370
117086,101267
116759,101131
116423,100976
116137,100875
115967,100834
115798,100779
115650,100700
115412,100579
115323,100536
115254,100540
115102,100504
114982,100446
114876,100373
114790,100343
114757,100340
114729,100347
114677,100311
114616,100265
114630,100261
114635,100299
114684,100310
114694,100308
114639,100272
114672,100295
114765,100352
114764,100351
114805,100379
114838,100360
114859,100391
114976,100449
115022,100472
115035,100450
115056,100440
115122,100488
115191,100537
115255,100547
115235,100561
115260,100516
115312,100553
115392,100627
115379,100601
115411,100656
115425,100597
115473,100629
115549,100687
115586,100692
115590,100695
115600,100678
115636,100670
115700,100736
115714,100731
115760,100751
115759,100750
115858,100778
115922,100788
115961,100792
116043,100851
116012,100853
116087,100857
116198,100919
116229,100937
116253,100977
116237,100921
116301,100948
116337,100957
116324,100958
116306,100966
116288,100935
116278,100955
116339,100979
116284,100958
116287,100975
116207,100905
116214,100908
116246,100928
116234,100956
116184,100900
116093,100848
116130,100878
116126,100885
116127,100893
116087,100851
116010,100818
116025,100830
116070,100893
116047,100877
116032,100883
116049,100841
116072,100867
116084,100891
116048,100864
116107,100862
116068,100827
116113,100885
116162,100916
116185,100927
116187,100933
116182,100877
116257,100948
116304,100959
116326,100997
116320,100956
116337,100954
116436,100991
116466,101068
116483,101054
116457,101029
116492,101001
116570,101067
116672,101121
116681,101135
116652,101116
116698,101092
116739,101136
116777,101159
116830,101143
116843,101169
116841,101161
116920,101202
116943,101218
116941,101221
116993,101225
116971,101215
117041,101255
117075,101283
117129,101255
117121,101276
117088,101250
117144,101321
117181,101304
117183,101297
117204,101255
117158,101265
117231,101321
117258,101352
117251,101321
117193,101310
117176,101322
117287,101348
117286,101370
117322,101391
117272,101346
117256,101317
117314,101370
117356,101406
117359,101397
117331,101350
117281,101318
117373,101382
117363,101400
117387,101386
117312,101346
117351,101353
117394,101370
117393,101394
117391,101408
117398,101365
117398,101340
117418,101416
117460,101427
117443,101402
117479,101378
117448,101387
117516,101466
117560,101484
117568,101450
117537,101444
117594,101448
117658,101512
117679,101497
117666,101507
117688,101491
117680,101476
117747,101569
117792,101553
117771,101520
117750,101506
117719,101486
117746,101489
117612,101448
117452,101400
117232,101280
116980,101173
116715,101060
116440,100948
116170,100831
115878,100731
115700,100638
115517,100617
115386,100539
115192,100471
114987,100376
114844,100320
114787,100324
114608,100269
114488,100200
114381,100121
114336,100121
114340,100133
114257,100080
114190,100079
114157,100022
114188,100030
114229,100123
114216,100104
114212,100085
114219,100048
114260,100078
114315,100134
114327,100133
114336,100152
114352,100139
114384,100151
114470,100208
114519,100231
114561,100211
114503,100219
114557,100271
114696,100287
114718,100309
114729,100309
114749,100285
114775,100321
114854,100358
114870,100365
114881,100370
114843,100336
114903,100386
114964,100406
114982,100395
114993,100433
114987,100407
115025,100435
115093,100454
115115,100469
115148,100483
115184,100404
115251,100483
115300,100557
115381,100573
115434,100588
115438,100550
115529,100607
115577,100657
115615,100668
115636,100668
115616,100621
115691,100660
115735,100723
115683,100715
115691,100679
115631,100643
115684,100683
115694,100691
115677,100695
115677,100649
115638,100613
115623,100657
115652,100657
115664,100640
115667,100625
115596,100595
115626,100635
115667,100688
115678,100663
115611,100665
115605,100616
115653,100665
115691,100687
115708,100676
115668,100659
115686,100649
115739,100679
115797,100721
115817,100703
115810,100673
115822,100699
115881,100771
115939,100774
115971,100784
116009,100794
116021,100814
116109,100822
116145,100867
116203,100879
116203,100877
116222,100825
116323,100895
116396,100970
116432,100969
116460,100963
116500,100973
116575,101046
116616,101042
116686,101056
116703,101039
116720,101036
116820,101102
116873,101131
116894,101172
116933,101115
116921,101145
117047,101190
117075,101223
117159,101209
117133,101203
117130,101233
117245,101286
117263,101261
117300,101334
117318,101283
117346,101269
117392,101323
117462,101395
117493,101373
117499,101376
117513,101358
117558,101398
117576,101404
117607,101428
117658,101439
117662,101409
117704,101454
117776,101494
117737,101504
117736,101462
117824,101481
117828,101506
117907,101546
117879,101555
117904,101511
117912,101504
117966,101585
117980,101559
117981,101533
117996,101526
117984,101545
118070,101582
118035,101598
118051,101592
118066,101586
118055,101573
118114,101619
118120,101631
118159,101604
118134,101599
118174,101643
118215,101664
118258,101651
118255,101699
118241,101667
118280,101695
118327,101732
118412,101749
118424,101729
118395,101733
118446,101759
118548,101810
118591,101820
118579,101798
118592,101807
118575,101818
118671,101813
118686,101841
118673,101851
118624,101756
118539,101778
118470,101729
118255,101658
118010,101538
117653,101356
117338,101229
117021,101118
116656,100981
116331,100863
116029,100754
115824,100682
115683,100645
115538,100558
115393,100497
115228,100406
115131,100404
115060,100359
115007,100327
114884,100299
114823,100249
114791,100244
114810,100265
114762,100245
114721,100257
114682,100182
114766,100203
114828,100299
114792,100258
114783,100266
114787,100271
114863,100279
114913,100321
114997,100380
115027,100342
114985,100297
115078,100364
115145,100422
115167,100435
115192,100439
115201,100409
115283,100462
115323,100491
115380,100521
115361,100507
115318,100464
115418,100511
115417,100537
115463,100554
115496,100520
115424,100498
115510,100557
