ir,red
104926,96745
104947,96753
104977,96748
104996,96751
105037,96779
105050,96771
105090,96772
105104,96796
105139,96826
105191,96838
105219,96846
105225,96854
105274,96861
105271,96890
105310,96898
105314,96889
105369,96880
105374,96913
105441,96945
105445,96953
105430,96954
105494,96966
105490,96963
105492,96947
105471,96954
105485,96973
105519,96974
105503,96961
105540,96984
105530,96971
105553,96941
105533,96970
105550,96964
105573,96990
105575,96988
105595,97001
105628,97013
105633,97017
105648,96998
105642,97006
105676,97018
105680,97026
105701,97026
105737,97036
105727,97038
105769,97060
105755,97064
105807,97080
105799,97078
105836,97096
105877,97113
105913,97098
105930,97129
105928,97133
105998,97150
106002,97149
106024,97154
106063,97175
106091,97189
106164,97198
106162,97202
106206,97242
106265,97237
106276,97263
106317,97310
106362,97270
106371,97298
106412,97304
106417,97343
106485,97343
106486,97340
106538,97366
106549,97388
106564,97432
106595,97381
106672,97412
106666,97442
106707,97435
106704,97447
106754,97462
106802,97484
106820,97468
106815,97492
106852,97494
106883,97506
106903,97519
106920,97520
106957,97528
106973,97559
106996,97562
106993,97573
107054,97582
107080,97583
107103,97579
107113,97623
107144,97603
107182,97638
107195,97658
107200,97654
107291,97670
107301,97704
107325,97679
107375,97703
107358,97706
107412,97714
107407,97722
107371,97703
107363,97700
107304,97661
107241,97652
107139,97605
107024,97550
106954,97515
106813,97470
106695,97403
106568,97310
106454,97283
106334,97249
106181,97210
106079,97138
105984,97096
105839,97042
105732,96987
105638,96928
105530,96894
105420,96868
105339,96847
105271,96826
105229,96788
105151,96778
105115,96756
105088,96731
105000,96729
105004,96711
104988,96733
104974,96719
104981,96700
104987,96731
104965,96720
104981,96748
104980,96761
104972,96756
105039,96769
105063,96766
105072,96777
105110,96798
105123,96806
105149,96813
105210,96844
105201,96849
105244,96858
105298,96876
105313,96875
105336,96912
105353,96923
105390,96918
105388,96949
105472,96943
105464,96962
105501,96983
105559,96982
105595,97010
105631,97036
105688,97030
105748,97064
105796,97106
105827,97130
105850,97118
105912,97144
105950,97156
105988,97191
106034,97202
106089,97211
106084,97240
106095,97222
106146,97238
106174,97226
106175,97254
106190,97253
106219,97262
106219,97262
106253,97277
106259,97264
106242,97282
106281,97292
106288,97300
106270,97273
106277,97299
106296,97307
106287,97292
106273,97286
106286,97301
106308,97275
106327,97302
106286,97290
106305,97294
106324,97299
106313,97294
106334,97295
106331,97329
106341,97306
106381,97322
106350,97337
106389,97331
106417,97351
106415,97343
106456,97340
106450,97357
106461,97382
106461,97381
106527,97383
106504,97387
106571,97387
106596,97401
106608,97410
106613,97419
106636,97473
106679,97449
106683,97473
106733,97509
106767,97489
106795,97492
106783,97498
106825,97513
106818,97530
106857,97515
106913,97552
106919,97563
106940,97587
106991,97569
106960,97584
107006,97597
107024,97591
107009,97601
107091,97638
107099,97622
107097,97629
107112,97613
107127,97646
107134,97646
107157,97645
107147,97651
107185,97653
107218,97680
107179,97640
107236,97684
107234,97690
107255,97689
107209,97675
107254,97697
107271,97678
107266,97706
107269,97703
107266,97706
107288,97696
107308,97714
107337,97714
107333,97717
107347,97705
107342,97739
107364,97744
107397,97754
107375,97732
107384,97757
107426,97773
107431,97759
107467,97781
107489,97804
107513,97792
107516,97811
107540,97829
107530,97823
107617,97847
107612,97821
107613,97842
107664,97860
107692,97871
107674,97849
107684,97864
107687,97861
107669,97847
107632,97825
107574,97822
107523,97790
107435,97735
107322,97709
107216,97641
107111,97600
107014,97557
106897,97506
106776,97462
106645,97402
106527,97363
106393,97293
106252,97238
106107,97211
106015,97136
105930,97118
105859,97042
105731,97020
105656,97006
105588,96977
105518,96947
105450,96906
105406,96926
105369,96897
105336,96888
105328,96870
105284,96876
105285,96880
105308,96880
105240,96878
105278,96838
105314,96908
105318,96891
105356,96913
105352,96907
105409,96929
105399,96937
105459,96963
105451,96958
105523,96978
105532,96977
105557,97006
105599,97009
105638,97028
105682,97064
105692,97062
105718,97069
105759,97072
105791,97084
105795,97108
105853,97134
105872,97120
105933,97160
105960,97181
106018,97178
106045,97195
106086,97236
106105,97228
106198,97249
106224,97293
106271,97290
106334,97322
106359,97309
106386,97334
106413,97344
106475,97372
106462,97377
106498,97385
106503,97406
106546,97400
106517,97415
106568,97411
106569,97420
106583,97411
106582,97434
106616,97422
106599,97415
106613,97416
106607,97400
106598,97397
106595,97414
106613,97433
106623,97388
106619,97452
106617,97450
106610,97402
106587,97421
106623,97457
106622,97415
106627,97429
106649,97432
106645,97421
106651,97415
106661,97415
106634,97422
106670,97445
106683,97466
106708,97455
106736,97471
106744,97469
106780,97491
106744,97476
106807,97502
106853,97511
106840,97525
106866,97537
106894,97524
106868,97529
106970,97552
106945,97587
106998,97581
107004,97587
107023,97588
107059,97605
107095,97629
107102,97657
107157,97637
107166,97638
107199,97663
107235,97679
107257,97698
107265,97723
107302,97717
107326,97739
107359,97726
107387,97750
107407,97766
107473,97761
107476,97807
107513,97806
107543,97820
107576,97819
107592,97828
107633,97841
107644,97847
107689,97877
107734,97894
107747,97905
107757,97903
107814,97911
107785,97943
107800,97942
107854,97943
107899,97947
107911,97968
107957,97971
107948,97960
107981,98004
108010,97994
108044,98047
108081,98029
108096,98020
108127,98067
108146,98050
108162,98058
108152,98078
108214,98110
108245,98123
108282,98095
108292,98102
108315,98133
108327,98140
108378,98158
108383,98169
108425,98164
108434,98177
108484,98190
108472,98208
108502,98214
108535,98242
108559,98241
108557,98237
108586,98251
108551,98248
108575,98219
108534,98233
108510,98178
108449,98171
108376,98151
108280,98089
108179,98040
108073,98016
107994,97940
107830,97913
107740,97859
107630,97828
107533,97770
107393,97713
107322,97655
107221,97651
107082,97615
107016,97557
106933,97515
106835,97486
106779,97444
106692,97429
106636,97413
106579,97404
106492,97380
106499,97337
106453,97344
106407,97307
106411,97341
106367,97329
106379,97322
106375,97333
106375,97313
106384,97335
106363,97345
106410,97339
106421,97343
106447,97381
106481,97368
106476,97371
106499,97375
106535,97381
106531,97414
106562,97433
106594,97436
106640,97445
106662,97453
106688,97476
106725,97475
106740,97493
106766,97509
106781,97518
106835,97537
106866,97551
106905,97577
106932,97574
107003,97613
107036,97585
107053,97615
107093,97636
107096,97661
107159,97670
107188,97696
107230,97689
107267,97701
107237,97708
107313,97719
107359,97765
107365,97742
107347,97736
107372,97764
107371,97752
107404,97770
107406,97758
107433,97735
107442,97760
107396,97760
107425,97752
107422,97756
107447,97754
107410,97752
107432,97745
107421,97747
107420,97768
107378,97758
107413,97765
107402,97770
107401,97760
107393,97770
107417,97748
107409,97759
107385,97761
107424,97743
107393,97742
107415,97766
107419,97741
107449,97775
107443,97767
107467,97759
107444,97777
107461,97781
107468,97783
107472,97801
107502,97795
107523,97812
107522,97804
107553,97812
107582,97796
107596,97838
107572,97845
107622,97844
107664,97837
107668,97865
107703,97849
107704,97871
107686,97888
107739,97882
107726,97902
107784,97912
107797,97918
107850,97939
107839,97934
107861,97927
107889,97968
107904,97958
107919,97976
107937,97968
107958,97968
108003,97985
107967,97993
108002,98006
108042,98019
108064,98031
108020,98034
108096,98014
108116,98033
108108,98037
108139,98049
108171,98060
108151,98093
108220,98065
108226,98070
108271,98088
108244,98085
108263,98109
108296,98124
108308,98146
108345,98115
108322,98129
108359,98162
108367,98151
108424,98164
108406,98183
108461,98193
108491,98217
108489,98186
108505,98201
108556,98235
108562,98235
108607,98240
108596,98263
108625,98273
108645,98259
108665,98274
108682,98287
108663,98322
108690,98303
108695,98290
108691,98294
108654,98259
108607,98225
108549,98221
108481,98190
108381,98116
108296,98102
108190,98045
108124,98008
107980,97986
107907,97930
107808,97878
107699,97846
107608,97808
107500,97791
107421,97744
107290,97697
107236,97654
107144,97626
107071,97582
106977,97544
106913,97520
106867,97512
106794,97495
106759,97457
106713,97455
106710,97462
106685,97442
106670,97450
106651,97448
106665,97440
106622,97439
106666,97432
106659,97457
106653,97470
106691,97468
106695,97461
106735,97503
106734,97509
106785,97510
106802,97512
106814,97515
